,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,Earnings Per Share,Equity,Preference Capital,Reserves,Face Value
3,tatasteel,MAR'14,"4,17,110.00","7,876.40","4,24,987.00","2,88,941.00","1,36,045.00","1,16,422.00","18,205.80","98,216.20",0.00,"97,135.00","33,013.10","64,121.90",66.01,"9,714.10",0.00,"6,01,766.00",10.00
4,tatasteel,MAR'13,"3,81,994.00","9,020.40","3,91,015.00","2,70,732.00","1,20,283.00","94,769.80","18,767.70","76,002.10",0.00,"78,366.00","27,736.30","50,629.70",52.12,"9,714.10",0.00,"5,42,383.00",10.00
0,ambujacem,DEC'16,"92,678.20","5,762.30","98,440.50","75,851.30","22,589.20","21,874.40",714.80,"21,159.60",0.00,"13,373.10","3,672.20","9,700.90",4.89,"3,971.30",0.00,"1,86,764.00",2.00
1,ambujacem,DEC'15,"94,614.00","3,581.90","98,195.90","79,299.30","18,896.60","17,978.70",917.90,"17,060.80",0.00,"11,722.10","3,646.50","8,075.60",5.21,"3,103.80",0.00,"99,964.90",2.00
2,ambujacem,DEC'14,"99,781.20","4,289.80","1,04,071.00","80,496.80","23,574.20","22,929.40",644.80,"22,284.60",0.00,"17,834.10","2,870.50","14,963.60",9.67,"3,099.50",0.00,"97,933.80",2.00
3,ambujacem,DEC'13,"91,603.50","3,936.20","95,539.70","75,095.20","20,444.50","20,041.90",650.80,"19,391.10",0.00,"15,141.20","2,195.50","12,945.70",8.37,"3,091.70",0.00,"91,763.70",2.00
4,ambujacem,DEC'12,"97,303.00","3,488.70","1,00,792.00","72,573.30","28,218.40","24,670.50",756.60,"23,913.90",0.00,"19,018.30","6,047.70","12,970.60",8.41,"3,084.40",0.00,"84,966.20",2.00
0,zeel,MAR'17,"49,283.70","3,471.40","52,755.10","34,233.90","18,521.20","17,726.90","1,264.50","16,462.40",0.00,"16,955.80","6,615.20","10,340.60",10.77,960.40,0.00,"43,255.40",1.00
1,zeel,MAR'16,"42,065.00","2,226.60","44,291.60","30,306.20","13,985.40","13,957.80",27.60,"13,930.20",0.00,"13,281.40","4,688.10","8,593.30",7.43,960.40,0.00,"29,264.50",1.00
2,zeel,MAR'15,"34,261.80","2,272.90","36,534.70","23,814.90","12,719.80","12,702.10",17.70,"12,684.40",0.00,"12,122.40","3,804.70","8,317.70",7.15,960.40,0.00,"24,721.60",1.00
