,Book Value (in ?),Earnings Per Share (in ?),Employee Cost,Equity Dividend (%),Interest,Net Sales,Operating Profit,Other Income,PBDT,Total Expenditure,Year,stock_ticker
4,250.69,106.07,820.92,"3,000.00",11.91,"23,768.11","3,682.86",491.83,"3,670.95","20,577.08",MAR'13,heromotoco
0,"2,639.75",396.78,"1,393.20",850.00,4.20,"10,612.80","2,258.30",382.60,"2,254.10","8,737.10",MAR'16,boschltd
1,"2,339.81",426.02,"1,663.10",850.00,14.30,"12,085.50","2,546.60",565.30,"2,532.30","10,104.20",MAR'15,boschltd
2,"2,004.55",281.75,"1,179.20",550.00,0.50,"8,756.70","1,641.30",352.60,"1,640.80","7,468.00",DEC'13,boschltd
3,"1,774.94",305.19,"1,037.10",600.00,5.50,"8,659.10","1,718.70",369.20,"1,713.20","7,309.60",DEC'12,boschltd
4,"1,505.86",357.55,896.10,"1,350.00",0.40,"8,165.80","1,832.20",320.30,"1,831.80","6,653.90",DEC'11,boschltd
0,87.79,14.62,274.60,160.00,39.40,"6,084.70","4,540.80","2,462.40","4,501.40","4,006.30",MAR'17,binfra
1,99.80,7.00,257.80,30.00,33.00,"5,558.30","3,060.30",640.80,"3,027.30","3,138.80",MAR'16,binfra
2,94.55,14.39,244.40,110.00,-6.50,"5,388.90","4,389.40","2,002.60","4,395.90","3,002.10",MAR'15,binfra
3,93.26,5.77,215.10,44.00,9.10,"4,999.30","2,607.10",532.00,"2,598.00","2,924.20",MAR'14,binfra
4,92.86,5.35,208.70,55.00,0.70,"4,460.10","2,427.80",686.40,"2,427.10","2,718.70",MAR'13,binfra
0,241.11,18.12,993.57,55.00,640.04,"51,914.15","5,125.93",859.88,"4,485.89","47,648.10",MAR'16,gail
1,229.56,23.96,902.62,60.00,361.30,"56,741.98","5,557.06",878.75,"5,195.76","52,063.67",MAR'15,gail
2,213.42,34.49,843.50,104.00,366.19,"57,507.93","7,599.71",919.38,"7,233.52","50,827.60",MAR'14,gail
3,191.00,31.71,782.30,96.00,195.02,"47,522.69","7,233.73",873.94,"7,038.71","41,162.90",MAR'13,gail
4,170.49,28.80,717.97,87.00,116.46,"40,440.76","6,247.18",674.64,"6,130.72","34,868.22",MAR'12,gail
0,0.00,0.00,"4,605.13",100.00,"2,688.55","47,993.02","12,290.41",488.32,"9,601.86","36,190.93",MAR'17,tatasteel
1,0.00,0.00,"4,319.89",80.00,"1,848.05","38,221.49","8,002.95",392.37,"6,154.90","30,610.91",MAR'16,tatasteel
2,684.62,66.30,"4,601.92",80.00,"1,975.95","41,785.00","10,591.58",660.19,"8,615.63","31,853.61",MAR'15,tatasteel
3,627.59,66.02,"3,673.08",100.00,"1,820.58","41,711.03","13,604.54",854.26,"11,783.96","28,960.75",MAR'14,tatasteel
4,566.94,52.13,"3,602.27",80.00,"1,876.77","38,199.43","12,028.28","1,032.97","10,151.51","27,204.12",MAR'13,tatasteel
0,96.06,4.89,593.72,140.00,71.48,"9,239.88","2,258.92",576.23,"2,187.44","7,557.19",DEC'16,ambujacem
1,66.41,5.20,589.52,140.00,91.79,"9,431.43","1,889.66",358.19,"1,797.87","7,899.96",DEC'15,ambujacem
2,65.13,9.66,581.58,250.00,64.48,"9,951.97","2,357.42",428.98,"2,292.94","8,023.53",DEC'14,ambujacem
3,61.24,8.37,502.17,180.00,65.08,"9,149.45","2,044.45",377.51,"1,979.37","7,482.51",DEC'13,ambujacem
4,56.94,8.41,478.51,180.00,75.66,"9,686.18","2,821.84",348.87,"2,746.18","7,213.21",DEC'12,ambujacem
0,46.06,10.77,288.90,250.00,126.40,"4,928.40","1,852.10",347.10,"1,725.70","3,423.40",MAR'17,zeel
1,37.58,6.86,301.50,225.00,148.60,"4,206.50","1,338.40",249.50,"1,189.80","3,117.60",MAR'16,zeel
