,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,Earnings Per Share,Equity,Preference Capital
4,yesbank,JUN'16,"38,623.10","9,005.20","47,628.30","9,103.30","13,067.70","11,001.40","25,457.30","-14,455.90",0.00,"11,001.40","3,683.40","7,318.00",17.39,"4,210.90",0.00
0,heromotoco,JUN'17,"86,129.10","1,317.00","87,446.10","73,170.00","14,276.10","14,260.30",15.80,"14,244.50",0.00,"12,930.80","3,790.40","9,140.40",45.77,399.40,0.00
1,heromotoco,MAR'17,"74,880.80","1,182.30","76,063.10","65,305.20","10,757.90","10,743.10",14.80,"10,728.30",0.00,"9,390.10","2,212.60","7,177.50",35.94,399.40,0.00
2,heromotoco,DEC'16,"63,646.00","1,319.30","64,965.30","52,848.60","12,116.70","12,101.50",15.20,"12,086.30",0.00,"10,853.00","3,132.50","7,720.50",38.66,399.40,0.00
3,heromotoco,SEP'16,"77,962.80","1,523.60","79,486.40","64,274.10","15,212.30","15,196.80",15.50,"15,181.30",0.00,"14,004.30","3,962.10","10,042.20",50.29,399.40,0.00
4,heromotoco,JUN'16,"73,989.10","1,203.80","75,192.90","61,688.30","13,504.60","13,489.60",15.00,"13,474.60",0.00,"12,337.20","3,506.20","8,831.00",44.22,399.40,0.00
0,boschltd,MAR'17,"27,802.00","1,310.40","29,112.40","20,764.90","8,347.50","8,115.30",232.20,"7,883.10",0.00,"6,623.60","2,218.90","4,404.70",144.30,305.20,0.00
1,boschltd,DEC'16,"26,719.60","1,634.30","28,353.90","24,052.50","4,301.40","4,284.50",16.90,"4,267.60",0.00,"2,990.70",843.10,"2,181.90",70.70,305.20,0.00
2,boschltd,SEP'16,"26,115.40","2,107.10","28,222.50","21,421.70","6,800.80","6,791.10",9.70,"6,781.40",0.00,"5,901.80","1,672.70","7,037.40",224.10,314.00,0.00
3,boschltd,JUN'16,"25,195.50","1,788.80","26,984.30","20,684.50","6,299.80","6,287.10",12.70,"6,274.40",0.00,"5,427.60","1,678.70","3,787.20",120.60,314.00,0.00
4,boschltd,MAR'16,"27,145.30","1,017.40","28,162.70","21,310.80","6,851.90","6,851.90",0.00,"6,851.90",0.00,"5,613.20","1,852.80","3,760.40",119.70,314.00,0.00
0,binfra,JUN'17,"15,934.00","10,149.00","26,083.00","8,118.00","17,965.00","18,979.00","-1,014.00","19,993.00",0.00,"16,029.00","2,046.00","13,983.00",7.56,"18,496.00",0.00
1,binfra,JUN'17,"15,934.00","10,149.00","26,083.00","8,118.00","17,965.00","18,979.00","-1,014.00","19,993.00",0.00,"16,029.00","2,046.00","13,983.00",7.56,"18,496.00",0.00
2,binfra,MAR'17,"16,053.00",190.00,"16,243.00","8,357.00","7,886.00","8,117.00",-231.00,"8,348.00",0.00,"5,150.00","1,901.00","3,249.00",1.76,"18,496.00",0.00
3,binfra,DEC'16,"15,300.00","1,661.00","16,961.00","8,244.00","8,717.00","8,717.00",0.00,"8,717.00",0.00,"5,783.00","2,104.00","3,679.00",1.99,"18,496.00",0.00
4,binfra,SEP'16,"14,963.00","3,249.00","18,212.00","8,073.00","10,139.00","10,139.00",0.00,"10,139.00",0.00,"7,262.00","1,909.00","5,353.00",2.86,"18,496.00",0.00
0,gail,MAR'17,"1,36,741.00","4,677.10","1,41,418.00","1,21,188.00","20,230.50","12,130.50",219.60,"11,910.90",0.00,"8,659.30","6,057.70","2,601.60",1.54,"16,913.00",0.00
1,gail,DEC'16,"1,21,324.00","2,756.00","1,24,080.00","1,04,064.00","20,016.60","18,415.30","1,601.30","16,814.00",0.00,"14,836.20","5,007.00","9,829.20",7.75,"12,684.80",0.00
2,gail,SEP'16,"1,18,774.00","3,168.70","1,21,942.00","1,03,426.00","18,516.10","17,317.80","1,198.30","16,119.50",0.00,"13,754.70","4,508.20","9,246.50",7.29,"12,684.80",0.00
3,gail,JUN'16,"1,07,067.00","6,054.00","1,13,121.00","91,134.30","21,986.80","20,212.40","1,774.40","18,438.00",0.00,"16,858.00","3,506.20","13,351.80",10.53,"12,684.80",0.00
4,gail,MAR'16,"1,17,324.00","2,204.60","1,19,528.00","1,05,087.00","14,441.50","12,895.30","1,546.20","11,349.10",0.00,"9,398.70","1,698.80","7,699.90",6.07,"12,684.80",0.00
0,tatasteel,MAR'17,"1,71,131.00",465.10,"1,71,596.00","1,27,522.00","44,074.70","33,124.90","6,529.20","26,595.70",0.00,"22,550.00","8,400.40","14,149.60",14.12,"9,714.10",0.00
1,tatasteel,DEC'16,"1,26,318.00",978.00,"1,27,296.00","92,529.90","34,766.60","26,653.80","7,697.20","18,956.60",0.00,"17,959.40","5,913.40","12,046.00",12.10,"9,714.10",0.00
2,tatasteel,SEP'16,"1,06,018.00","1,646.50","1,07,664.00","86,870.00","20,794.20","12,784.10","7,367.20","5,416.90",0.00,"3,667.60","1,172.00","2,495.60",1.97,"9,714.10",0.00
3,tatasteel,JUN'16,"91,204.80","1,055.00","92,259.80","68,991.20","23,268.60","16,422.00","5,291.90","11,130.10",0.00,"9,392.30","3,638.00","5,754.30",5.63,"9,714.10",0.00
4,tatasteel,MAR'16,"1,05,217.00","1,263.10","1,06,480.00","83,582.90","22,896.90","15,795.50","3,829.30","11,966.20",0.00,"10,866.40","4,100.40","6,766.00",6.52,"9,714.10",0.00
0,ambujacem,JUN'17,"32,602.20",559.90,"33,162.10","26,092.00","7,070.10","6,905.10",165.00,"6,740.10",0.00,"5,466.20","1,543.90","3,922.30",1.98,"3,971.30",0.00
1,ambujacem,JUN'17,"32,602.20",559.90,"33,162.10","26,092.00","7,070.10","6,905.10",165.00,"6,740.10",0.00,"5,466.20","1,543.90","3,922.30",1.98,"3,971.30",0.00
